name,type,linkid
Joseon Gunman, action historical melodrama romance suspense ,http://www.dramacool.com/joseon-gunman-episode-1.html
Joyous Marshal, fantasy historical ,http://www.dramacool.com/joyous-marshal-episode-1.html
Jumong, historical ,http://www.dramacool.com/jumong-episode-1.html
"Jung Yi, The Goddess of Fire", drama romance ,http://www.dramacool.com/jung-yi-the-goddess-of-fire-episode-1.html
Kid Gang, comedy ,http://www.dramacool.com/kid-gang-episode-1.html
Kara Project, music ,http://www.dramacool.com/kara-project-episode-1.html
Kim Soo Ro, historical ,http://www.dramacool.com/kim-soo-ro-episode-1.html
Kimcheed Radish Cubes, romance ,http://www.dramacool.com/kimcheed-radish-aka-kimcheed-radish-cubes-episode-1.html
King of Food, variety ,http://www.dramacool.com/king-of-food-episode-1.html
King of High School, comedy romance ,http://www.dramacool.com/king-of-high-school-episode-1.html
Kings Family, comedy family romance ,http://www.dramacool.com/kings-family-episode-1.html
Kings Daughter Su Baek Hyang, family historical romance ,http://www.dramacool.com/kings-daughter-su-baek-hyang-episode-1.html
Let eat, ,http://www.dramacool.com/let-eat--episode-1.html
Lets Eat, comedy romance ,http://www.dramacool.com/lets-eat-episode-1.html
Lie to Me, comedy romance ,http://www.dramacool.com/lie-to-me-episode-1.html
Live in Style, family ,http://www.dramacool.com/live-in-style-episode-1.html
Love Family, family romance ,http://www.dramacool.com/love-family-episode-1.html
Loving You a Thousand Times, melodrama romance ,http://www.dramacool.com/loving-you-a-thousand-times-episode-1.html
Love Rain, melodrama romance ,http://www.dramacool.com/love-rain-episode-1.html
Ma Boy, comedy romance youth ,http://www.dramacool.com/ma-boy-episode-1.html
Magic Eye, music ,http://www.dramacool.com/magic-eye-episode-1.html
Make a Wish, family romance ,http://www.dramacool.com/make-a-wish-episode-1.html
Mandate Of Heaven, historical medical melodrama political thriller ,http://www.dramacool.com/mandate-of-heaven-episode-1.html
Manny, comedy romance ,http://www.dramacool.com/manny-episode-1.html
Marry Him If You Dare, comedy fantasy romance time travel ,http://www.dramacool.com/marry-him-if-you-dare-episode-1.html
Marriage Not Dating, comedy family romance ,http://www.dramacool.com/marriage-not-dating-episode-1.html
May Queen, melodrama romance ,http://www.dramacool.com/may-queen--episode-1.html
May Queen, ,http://www.dramacool.com/may-queen-episode-1.html
Mary Stayed Out All Night, comedy romance ,http://www.dramacool.com/mary-stayed-out-all-night-titles-episode-1.html
Medical Top Team, family medical political romance ,http://www.dramacool.com/medical-top-team-episode-1.html
"Me Too, Flower!", comedy romance ,http://www.dramacool.com/me-too-flower-episode-1.html
Midas, business romance ,http://www.dramacool.com/midas-episode-1.html
Melody of Love, family romance ,http://www.dramacool.com/melody-of-love-episode-1.html
Mimi, horror mystery romance ,http://www.dramacool.com/mimi-episode-1.html
Miss Korea, comedy drama family romance ,http://www.dramacool.com/miss-korea-episode-1.html
Miss Ripley, melodrama romance ,http://www.dramacool.com/miss-ripley-episode-1.html
Monstar, musical romance school youth ,http://www.dramacool.com/monstar-episode-1.html
My Daughter Seo Young, family melodrama romance ,http://www.dramacool.com/my-daughter-seo-young-episode-1.html
My Fair Lady, drama ,http://www.dramacool.com/my-fair-lady-episode-1.html
My Girl, comedy romance ,http://www.dramacool.com/my-girl-episode-1.html
My Love From the Star, comedy melodrama romance ,http://www.dramacool.com/my-love-from-the-star-episode-1.html
"My Love, Madame Butterfly", family romance ,http://www.dramacool.com/my-love-madame-butterfly-episode-1.html
My Name Is Kim Sam Soon, comedy romance ,http://www.dramacool.com/my-name-is-kim-sam-soon-episode-1.html
My Princess, comedy romance ,http://www.dramacool.com/my-princess-episode-1.html
Nail Shop Paris, comedy romance ,http://www.dramacool.com/nail-shop-paris-episode-1.html
Nine: Time Travel Nine Times, fantasy mystery romance thriller time travel ,http://www.dramacool.com/nine-time-travel-nine-times-episode-1.html
Norigae, ,http://www.dramacool.com/norigae-episode-1.html
Ohlala Couple, comedy family romance ,http://www.dramacool.com/ohlala-couple-episode-1.html
Once Upon a Time in Saeng Chori, comedy romance suspense ,http://www.dramacool.com/once-upon-a-time-in-saeng-chori-episode-1.html
Only Love, drama romance ,http://www.dramacool.com/only-love-episode-1.html
Out Of Inferno, ,http://www.dramacool.com/out-of-inferno-episode-1.html
Painter Of The Wind, period romance ,http://www.dramacool.com/painter-of-the-wind-episode-1.html
Panda and Hedgehog, comedy romance ,http://www.dramacool.com/panda-and-hedgehog-episode-1.html
Partner, law romance ,http://www.dramacool.com/partner-episode-1.html
Passionate Love, family human melodrama romance ,http://www.dramacool.com/passionate-love-episode-1.html
Pasta, romance ,http://www.dramacool.com/pasta-episode-1.html
Personal Taste, comedy romance ,http://www.dramacool.com/personal-taste-episode-1.html
Plan Man, comedy music ,http://www.dramacool.com/plan-man-episode-1.html
Playful Kiss, comedy romance school ,http://www.dramacool.com/playful-kiss-episode-1.html
Poseidon, action drama ,http://www.dramacool.com/poseidon-episode-1.html
Potato Star, family fantasy romance sitcom ,http://www.dramacool.com/potato-star-episode-1.html
Prime Minister and I, comedy family romance ,http://www.dramacool.com/prime-minister-and-i-episode-1.html
Prosecutor Princess, romance ,http://www.dramacool.com/prosecutor-princess-episode-1.html
Protect the Boss, comedy romance ,http://www.dramacool.com/protect-the-boss-episode-1.html
Queen In-Hyuns Man, fantasy romance time travel ,http://www.dramacool.com/queen-in-hyuns-man-episode-1.html
Queen Insoo, historical ,http://www.dramacool.com/queen-insoo--episode-1.html
Queen of Ambition, melodrama political romance ,http://www.dramacool.com/queen-of-ambition-episode-1.html
Queen of Housewives, romance ,http://www.dramacool.com/queen-of-housewives-episode-1.html
Queen of Reversals, comedy romance ,http://www.dramacool.com/queen-of-reversals-episode-1.html
Queen Seon Duk, drama historical ,http://www.dramacool.com/queen-seon-duk-episode-1.html
Reply 1994, comedy romance youth ,http://www.dramacool.com/reply-1994-episode-1.html
Reply 1997, sitcom ,http://www.dramacool.com/reply-1997-episode-1.html
Road No. 1, action drama ,http://www.dramacool.com/road-no-1-episode-1.html
Romance Town, comedy romance ,http://www.dramacool.com/romance-town-episode-1.html
Rooftop Prince, comedy fantasy romance time travel ,http://www.dramacool.com/rooftop-prince-episode-1.html
Roommate, reality reality-game show ,http://www.dramacool.com/roommates-episode-1.html
Royal Family, drama romance ,http://www.dramacool.com/royal-family-episode-1.html
Ruby Ring, family modern drama romance ,http://www.dramacool.com/ruby-ring-episode-1.html
Running Man, comedy reality variety ,http://www.dramacool.com/running-man-episode-1.html
Sanguiwon, ,http://www.dramacool.com/sanguiwon-episode-1.html
Scent of a Woman, romance ,http://www.dramacool.com/scent-of-a-woman-episode-1.html
School 2013, drama school youth ,http://www.dramacool.com/school-2013-episode-1.html
Secret Agent Miss Oh, comedy romance ,http://www.dramacool.com/secret-agent-miss-oh-episode-1.html
Secret Garden, comedy fantasy melodrama romance ,http://www.dramacool.com/secret-garden-episode-1.html
Secret Investigation Record, period ,http://www.dramacool.com/secret-investigation-record-episode-1.html
Secret Love, fantasy romance ,http://www.dramacool.com/secret-love-episode-1.html
Secret Love Affair, melodrama musical romance ,http://www.dramacool.com/secret-love-affair-episode-1.html
Shark, melodrama mystery romance thriller ,http://www.dramacool.com/shark-episode-1.html
Shining Inheritance, family romance ,http://www.dramacool.com/shining-inheritance-episode-1.html
Shut Up Flower Boy Band, drama romance youth ,http://www.dramacool.com/shut-up-flower-boy-band-episode-1.html
Sirius, action crime investigation ,http://www.dramacool.com/sirius-episode-1.html
Slave Hunters / Chuno, historical ,http://www.dramacool.com/slave-hunters-chuno-episode-1.html
Smile You, comedy family romance ,http://www.dramacool.com/smile-you-episode-1.html
"Smile, Mom", ,http://www.dramacool.com/smile-mom-episode-1.html
Special ID, ,http://www.dramacool.com/special-id-episode-1.html
Stairway To Heaven, drama romance ,http://www.dramacool.com/stairway-to-heaven-episode-1.html
Star Documentary K-Pop Hero S2, audition music ,http://www.dramacool.com/star-documentary-k-pop-hero-s2-episode-1.html
Stars Falling From the Sky, drama romance ,http://www.dramacool.com/stars-falling-from-the-sky-episode-1.html
Style, romance ,http://www.dramacool.com/style-episode-1.html
Summer Nude, romance ,http://www.dramacool.com/summer-nude-episode-1.html
Sungkyunkwan Scandal, comedy period romance ,http://www.dramacool.com/sungkyunkwan-scandal-episode-1.html
Survival Audition K-Pop Star S3, audition music ,http://www.dramacool.com/survival-audition-k-pop-star-s3-uncategorized-episode-1.html
Swallow the Sun, action romance ,http://www.dramacool.com/swallow-the-sun-episode-1.html
Take Care of the Young Lady, comedy romance ,http://www.dramacool.com/take-care-of-the-young-lady-episode-1.html
"Take Care of Us, Captain", drama family human romance ,http://www.dramacool.com/take-care-of-us-captain-episode-1.html
Tamna the Island, period drama ,http://www.dramacool.com/tamna-the-island-episode-1.html
Temptation of an Angel, melodrama ,http://www.dramacool.com/temptation-of-an-angel-episode-1.html
Temptation of Wife, family melodrama ,http://www.dramacool.com/temptation-of-wife-episode-1.html
That Winter The Wind Blows, melodrama romance ,http://www.dramacool.com/that-winter-the-wind-blows-episode-1.html
The 3rd Hospital, medical romance ,http://www.dramacool.com/the-3rd-hospital-episode-1.html
The Blade and Petal, ,http://www.dramacool.com/the-blade-and-petal-episode-1.html
The Chaser, action crime family melodrama mystery ,http://www.dramacool.com/the-chaser-episode-1.html
The Color of a Woman, ,http://www.dramacool.com/the-color-of-a-woman-episode-1.html
The Face Reader, drama ,http://www.dramacool.com/the-face-reader-episode-1.html
The Four 2, ,http://www.dramacool.com/the-four-2-episode-1.html
The Genius 2: Rulebreaker, reality ,http://www.dramacool.com/the-genius-2-rulebreaker-episode-1.html
The Great Merchant Kim Man Deok, historical ,http://www.dramacool.com/the-great-merchant-kim-man-deok-episode-1.html
The Great Seer, action historical political romance ,http://www.dramacool.com/the-great-seer-episode-1.html
The Greatest Love, comedy romance ,http://www.dramacool.com/the-greatest-love-episode-1.html
The Heirs, comedy melodrama romance school youth ,http://www.dramacool.com/the-heirs-episode-1.html
The King 2 Hearts, action comedy romance ,http://www.dramacool.com/the-king-2-hearts-episode-1.html
The King Of Dramas, comedy drama romance ,http://www.dramacool.com/the-king-of-dramas-episode-1.html
The Kingdom of the Winds, fantasy period ,http://www.dramacool.com/the-kingdom-of-the-winds-episode-1.html
The Law of Pleasures, ,http://www.dramacool.com/the-law-of-pleasures-episode-1.html
The Man Who Cant Get Married, comedy romance ,http://www.dramacool.com/the-man-who-cant-get-married--episode-1.html
The Masters Sun, comedy fantasy horror romance ,http://www.dramacool.com/the-masters-sun-episode-1.html
The Moon That Embraces The Sun, fantasy period romance ,http://www.dramacool.com/the-moon-that-embraces-the-sun-episode-1.html
The Princess Man, period romance ,http://www.dramacool.com/the-princess-man-episode-1.html
The Queens Classroom, comedy drama human school ,http://www.dramacool.com/the-queens-classroom-episode-1.html
The Reputable Family, drama historical period ,http://www.dramacool.com/the-reputable-family-episode-1.html
The Return of Superman, variety ,http://www.dramacool.com/the-return-of-superman-episode-1.html
